City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gat,31.61,34.7642,60.4,61,13,5.57,IL,1680474700
1,balikpapan,-1.2675,116.8289,76.19,94,40,6.91,ID,1680474701
2,barrow,71.2906,-156.7887,6.82,78,100,11.5,US,1680474635
3,rikitea,-23.1203,-134.9692,80.35,81,29,16.08,PF,1680474701
4,hilo,19.7297,-155.09,78.28,89,75,8.05,US,1680474701
5,chuy,-33.6971,-53.4616,62.37,78,81,6.04,UY,1680474695
6,severo-kurilsk,50.6789,156.125,31.46,90,100,11.74,RU,1680474657
7,vaini,-21.2,-175.2,82.56,69,20,13.8,TO,1680474701
8,gravdal,68.1214,13.5031,33.69,55,0,11.5,NO,1680474701
9,yakeshi,49.2833,120.7333,24.17,69,100,19.86,CN,1680474701
10,new norfolk,-42.7826,147.0587,59.92,71,60,3.11,AU,1680474701
11,nikolskoye,59.7035,30.7861,30.09,96,100,12.03,RU,1680474634
12,arlit,18.7369,7.3853,76.08,5,100,10.09,NE,1680474701
13,yellowknife,62.456,-114.3525,12.72,62,75,0.0,CA,1680474633
14,butaritari,3.0707,172.7902,81.48,78,33,10.92,KI,1680474701
15,mataura,-46.1927,168.8643,56.48,56,70,2.71,NZ,1680474701
16,castro,-24.7911,-50.0119,62.15,92,60,6.64,BR,1680474701
17,mahebourg,-20.4081,57.7,79.25,89,75,6.91,MU,1680474636
18,tiksi,71.6872,128.8694,18.19,80,100,18.37,RU,1680474702
19,tomatlan,19.9333,-105.25,84.4,47,90,7.31,MX,1680474702
20,staroshcherbinovskaya,46.6311,38.6742,44.92,73,9,7.34,RU,1680474702
21,roald,62.5833,6.1333,43.32,65,75,9.22,NO,1680474702
22,airai,-8.9266,125.4092,61.47,89,80,2.51,TL,1680474657
23,arraial do cabo,-22.9661,-42.0278,75.06,78,75,9.22,BR,1680474702
24,bonthe,7.5264,-12.505,79.74,87,1,5.59,SL,1680474702
25,punta arenas,-53.15,-70.9167,59.11,41,75,8.05,CL,1680474633
26,mar del plata,-38.0023,-57.5575,69.82,72,0,5.75,AR,1680474608
27,kapaa,22.0752,-159.319,81.19,76,20,8.05,US,1680474702
28,jojoima,7.8792,-10.7878,76.03,90,49,3.53,SL,1680474703
29,bredasdorp,-34.5322,20.0403,63.72,91,2,6.51,ZA,1680474701
30,pisco,-13.7,-76.2167,78.85,78,0,19.57,PE,1680474703
31,touros,-5.1989,-35.4608,78.44,81,100,6.4,BR,1680474703
32,chokurdakh,70.6333,147.9167,-7.01,91,72,12.53,RU,1680474703
33,plymouth,41.8334,-70.8328,48.02,28,0,11.5,US,1680474703
34,egvekinot,66.3167,-179.1667,1.51,94,100,5.86,RU,1680474703
35,ushuaia,-54.8,-68.3,53.26,54,40,8.05,AR,1680474636
36,hay river,60.8156,-115.7999,15.76,79,100,5.75,CA,1680474703
37,chaves,33.3834,-104.4505,84.61,6,0,8.05,US,1680474703
38,kaeo,-35.1,173.7833,68.32,80,95,6.46,NZ,1680474703
39,ponta delgada,37.7333,-25.6667,56.12,71,20,9.22,PT,1680474703
40,busselton,-33.65,115.3333,62.69,84,0,14.38,AU,1680474624
41,lekoni,-1.5843,14.2591,78.67,69,92,3.04,GA,1680474703
42,paracuru,-3.41,-39.0306,81.1,85,100,2.75,BR,1680474704
43,abu kamal,34.4506,40.9171,61.36,51,39,4.12,SY,1680474704
44,erzin,36.9559,36.2,53.37,86,80,2.64,TR,1680474704
45,wana,32.2989,69.5725,53.58,84,76,2.01,PK,1680474704
46,ancud,-41.8697,-73.8203,51.98,73,6,3.94,CL,1680474704
47,cape town,-33.9258,18.4232,70.38,86,75,10.36,ZA,1680474704
48,fortuna,40.5982,-124.1573,50.34,87,100,4.68,US,1680474580
49,bridlington,54.0831,-0.1919,40.89,72,6,9.31,GB,1680474704
50,denpasar,-8.65,115.2167,78.46,100,40,6.91,ID,1680474524
51,mabaruma,8.2,-59.7833,75.58,82,93,4.94,GY,1680474704
52,port elizabeth,-33.918,25.5701,70.32,70,0,14.97,ZA,1680474705
53,the valley,18.217,-63.0578,78.94,78,40,18.41,AI,1680474688
54,hithadhoo,-0.6,73.0833,81.86,71,13,6.24,MV,1680474705
55,sao joao da barra,-21.6403,-41.0511,77.09,75,58,11.45,BR,1680474705
56,narsaq,60.9167,-46.05,39.42,81,100,8.52,GL,1680474705
57,mudgee,-32.5943,149.5871,62.62,64,5,12.15,AU,1680474705
58,hofn,64.2539,-15.2082,37.71,96,100,4.32,IS,1680474688
59,albany,42.6001,-73.9662,41.65,25,8,7.0,US,1680474705
60,wenling,28.3669,121.36,55.4,83,100,3.51,CN,1680474705
61,aswan,24.0934,32.907,69.67,19,34,8.52,EG,1680474699
62,jinotega,13.0917,-86.0018,83.68,41,40,0.0,NI,1680474705
63,ouadda,8.0777,22.4007,71.17,25,6,0.94,CF,1680474705
64,starodub,52.5844,32.7633,42.91,92,100,4.88,RU,1680474705
65,kodiak,57.79,-152.4072,36.91,48,0,12.66,US,1680474705
66,dikson,73.5069,80.5464,-15.7,95,100,12.86,RU,1680474672
67,san juan,-31.5375,-68.5364,75.94,36,0,8.52,AR,1680474705
68,merauke,-8.4667,140.3333,80.65,82,100,5.53,ID,1680474706
69,charagua,-19.8,-63.2167,81.97,64,6,5.75,BO,1680474706
70,cowra,-33.8333,148.6833,68.22,54,0,10.33,AU,1680474706
71,jashpurnagar,22.9,84.15,66.69,42,18,3.27,IN,1680474706
72,orsha,54.5153,30.4053,30.04,96,100,13.58,BY,1680474706
73,east london,-33.0153,27.9116,69.55,80,100,3.91,ZA,1680474706
74,kahului,20.8947,-156.47,82.42,54,75,16.11,US,1680474706
75,jamestown,42.097,-79.2353,45.01,33,0,4.61,US,1680474582
76,starosubkhangulovo,53.1031,57.4423,27.43,93,1,4.0,RU,1680474706
77,haimen,23.1935,116.6142,64.29,80,30,17.67,CN,1680474706
78,fayaoue,-20.65,166.5333,81.46,75,22,3.4,NC,1680474706
79,shimoda,34.6667,138.95,51.1,69,97,19.33,JP,1680474689
80,quatre cocos,-20.2078,57.7625,79.09,85,88,7.52,MU,1680474706
81,willmar,45.1219,-95.0433,39.38,75,0,11.5,US,1680474706
82,rawah,34.4816,41.9093,60.49,55,47,5.39,IQ,1680474707
83,menongue,-14.6585,17.691,61.84,93,96,1.28,AO,1680474707
84,hermanus,-34.4187,19.2345,65.8,93,52,2.19,ZA,1680474707
85,acarau,-2.8856,-40.12,76.35,88,100,4.14,BR,1680474707
86,angoche,-16.2325,39.9086,75.65,90,100,10.36,MZ,1680474707
87,wuwei,37.9281,102.6414,39.18,47,100,0.69,CN,1680474707
88,hambantota,6.1241,81.1185,73.51,91,2,3.87,LK,1680474708
89,saint-philippe,-21.3585,55.7679,76.59,82,98,8.95,RE,1680474708
90,cidreira,-30.1811,-50.2056,68.86,65,9,7.74,BR,1680474708
91,loiza,18.4313,-65.8802,81.28,69,40,17.27,PR,1680474708
92,minsk,53.9,27.5667,29.95,92,100,16.78,BY,1680474708
93,port alfred,-33.5906,26.891,69.19,94,100,0.72,ZA,1680474708
94,kavieng,-2.5744,150.7967,83.84,74,99,12.17,PG,1680474708
95,talcahuano,-36.7167,-73.1167,62.28,67,0,11.5,CL,1680474633
96,lebu,-37.6167,-73.65,54.09,82,0,14.58,CL,1680474645
97,avarua,-21.2078,-159.775,80.65,74,75,8.05,CK,1680474708
98,tasiilaq,65.6145,-37.6368,28.56,91,100,6.06,GL,1680474599
99,sorong,-0.8833,131.25,79.07,85,100,23.42,ID,1680474708
100,oro valley,32.3909,-110.9665,82.4,10,0,5.01,US,1680474708
101,hobart,-42.8794,147.3294,60.26,71,20,9.22,AU,1680474708
102,korla,41.7597,86.1469,32.29,44,0,6.08,CN,1680474708
103,alta floresta,-9.8756,-56.0861,73.22,100,75,3.44,BR,1680474708
104,basco,20.4487,121.9702,75.02,75,66,19.28,PH,1680474709
105,puerto ayora,-0.7393,-90.3518,85.96,89,84,8.01,EC,1680474671
106,vallenar,-28.5708,-70.7581,66.88,69,4,4.07,CL,1680474709
107,chancay,-11.5714,-77.2672,73.89,88,40,9.33,PE,1680474709
108,tygda,53.1167,126.3333,33.82,96,100,6.11,RU,1680474709
109,kyabram,-36.3167,145.05,63.0,64,0,9.89,AU,1680474709
110,ahmadpur,18.7,76.9333,77.72,26,30,5.77,IN,1680474709
111,tuktoyaktuk,69.4541,-133.0374,1.4,71,20,11.5,CA,1680474709
112,coihaique,-45.5752,-72.0662,52.41,66,75,4.61,CL,1680474709
113,georgetown,5.4112,100.3354,78.73,87,20,2.3,MY,1680474629
114,haines junction,60.7522,-137.5108,28.35,40,100,2.3,CA,1680474709
115,arrifes,37.7667,-25.7,53.85,71,20,9.22,PT,1680474709
116,hamilton,39.1834,-84.5333,57.43,53,0,8.05,US,1680474094
117,santa maria,-29.6842,-53.8069,67.3,68,0,4.61,BR,1680474216
118,taoudenni,22.6783,-3.9836,84.02,6,0,9.78,ML,1680474709
119,bengkulu,-3.8004,102.2655,73.54,91,99,4.61,ID,1680474709
120,banda aceh,5.5577,95.3222,81.61,75,97,11.56,ID,1680474710
121,torbay,47.6666,-52.7314,39.97,93,100,13.8,CA,1680474633
122,trairi,-3.2778,-39.2689,75.45,88,100,1.83,BR,1680474414
123,ambilobe,-13.2,49.05,72.27,96,90,2.93,MG,1680474710
124,vuktyl,63.8567,57.3094,20.08,94,96,3.96,RU,1680474710
125,neryungri,56.6709,124.6491,5.18,96,100,4.34,RU,1680474710
126,lagos,6.5833,3.75,80.4,86,75,3.38,NG,1680474650
127,gushikawa,26.3544,127.8686,67.23,85,20,10.36,JP,1680474710
128,beloha,-25.1667,45.05,70.81,89,48,9.62,MG,1680474710
129,nanortalik,60.1432,-45.2371,30.11,92,100,6.44,GL,1680474710
130,havre-saint-pierre,50.2334,-63.5986,33.8,80,75,17.27,CA,1680474710
131,baza,37.4907,-2.7726,54.57,28,34,6.02,ES,1680474710
132,husavik,66.0449,-17.3389,37.09,76,100,6.42,IS,1680474710
133,kaitangata,-46.2817,169.8464,57.92,71,49,5.48,NZ,1680474710
134,walvis bay,-22.9575,14.5053,59.95,88,2,3.44,NA,1680474710
135,college,64.8569,-147.8028,31.46,84,100,11.5,US,1680474710
136,vangaindrano,-23.35,47.6,69.26,98,56,2.42,MG,1680474710
137,illintsi,49.1048,29.2177,43.74,96,100,4.41,UA,1680474711
138,thompson,55.7435,-97.8558,10.56,48,20,12.66,CA,1680474711
139,norman wells,65.282,-126.8329,17.64,57,75,4.61,CA,1680474620
140,khatanga,71.9667,102.5,8.15,96,100,9.75,RU,1680474643
141,lovington,32.944,-103.3485,81.32,8,0,3.0,US,1680474413
142,ponta do sol,32.6667,-17.1,66.7,82,0,3.22,PT,1680474694
143,upernavik,72.7868,-56.1549,-22.2,99,48,3.49,GL,1680474646
144,sisimiut,66.9395,-53.6735,8.82,77,100,6.78,GL,1680474711
145,atuona,-9.8,-139.0333,81.07,76,40,14.45,PF,1680474711
146,analipsis,35.3167,25.5667,69.94,42,48,11.21,GR,1680474711
147,qaanaaq,77.484,-69.3632,-14.22,64,4,1.61,GL,1680474711
148,carlagan,14.975,122.0456,79.0,81,84,5.21,PH,1680474711
149,paamiut,61.994,-49.6678,29.48,64,3,10.74,GL,1680474642
150,cherskiy,68.75,161.3,-17.95,93,30,4.81,RU,1680474711
151,beringovskiy,63.05,179.3167,23.67,85,99,9.01,RU,1680474711
152,matamoros,25.5333,-103.25,91.51,16,75,11.5,MX,1680474712
153,along,28.1667,94.7667,57.54,97,100,0.98,IN,1680474712
154,tecoanapa,16.5167,-98.75,90.7,41,2,8.88,MX,1680474712
155,poum,-20.2333,164.0167,80.74,73,8,9.33,NC,1680474712
156,alofi,-19.0595,-169.9187,84.09,70,63,18.41,NU,1680474638
157,shelburne,44.0787,-80.2041,37.76,53,65,8.57,CA,1680474712
158,tuatapere,-46.1333,167.6833,56.86,55,93,4.18,NZ,1680474712
159,baculin,7.4525,126.5842,77.94,86,97,4.99,PH,1680474712
160,quimper,48.0,-4.1,46.98,87,100,3.44,FR,1680474712
161,talnakh,69.4865,88.3972,15.17,96,100,9.8,RU,1680474712
162,mugur-aksy,50.35,90.5,-7.6,66,0,4.34,RU,1680474712
163,banjar,-8.19,114.9675,80.02,78,100,3.42,ID,1680474712
164,baykit,61.67,96.37,10.35,99,99,2.73,RU,1680474712
165,bathsheba,13.2167,-59.5167,79.41,69,40,19.57,BB,1680474688
166,south lake tahoe,38.9332,-119.9844,49.89,56,20,23.0,US,1680474466
167,faya,18.3851,42.4509,59.11,78,34,2.86,SA,1680474654
168,cruzeiro do sul,-29.5128,-51.9853,70.09,81,6,4.0,BR,1680474713
169,cabangahan,9.0781,122.9469,80.22,74,100,5.59,PH,1680474713
170,shingu,33.7333,135.9833,56.12,85,100,12.28,JP,1680474674
171,tilichiki,60.4667,166.1,27.19,94,100,1.88,RU,1680474658
172,bluff,-46.6,168.3333,56.8,63,92,7.47,NZ,1680474713
173,bethel,41.3712,-73.414,48.76,27,0,13.8,US,1680474713
174,grand gaube,-20.0064,57.6608,79.38,76,93,3.0,MU,1680474713
175,kununurra,-15.7667,128.7333,73.38,94,64,4.61,AU,1680474713
176,scarborough,54.2797,-0.4044,35.78,86,6,3.0,GB,1680474530
177,san patricio,28.017,-97.5169,88.18,52,100,17.13,US,1680474713
178,kanigiri,15.4,79.5167,80.01,75,99,3.71,IN,1680474713
179,sal rei,16.1833,-22.9167,72.05,84,0,13.87,CV,1680474713
180,noumea,-22.2763,166.4572,82.99,99,20,9.15,NC,1680474713
181,pevek,69.7008,170.3133,-15.95,99,100,2.91,RU,1680474644
182,ilulissat,69.2167,-51.1,5.02,85,99,4.61,GL,1680474713
183,eyl,7.9803,49.8164,80.82,79,23,5.28,SO,1680474713
184,constitucion,-35.3333,-72.4167,58.87,71,9,14.41,CL,1680474713
185,iquira,2.6487,-75.6346,70.47,96,94,2.3,CO,1680474713
186,luderitz,-26.6481,15.1594,60.46,86,4,12.21,NA,1680474714
187,broome,42.2506,-75.833,39.33,36,0,5.75,US,1680474714
188,xunchang,28.4543,104.715,64.89,93,85,2.62,CN,1680474714
189,kunashak,55.7032,61.5498,31.08,97,10,8.28,RU,1680474714
190,mattru,7.6244,-11.8332,78.53,88,13,2.37,SL,1680474714
191,indramayu,-6.3264,108.32,77.45,77,100,5.01,ID,1680474714
192,vitim,59.4511,112.5578,4.57,97,96,5.64,RU,1680474714
193,sitka,57.0531,-135.33,42.69,70,75,4.61,US,1680474714
194,qiongshan,20.0058,110.3542,76.98,88,40,8.95,CN,1680474714
195,carnarvon,-24.8667,113.6333,74.98,78,66,10.38,AU,1680474714
196,dryden,49.7833,-92.7503,39.49,41,100,10.36,CA,1680474714
197,cap malheureux,-19.9842,57.6142,79.47,76,96,3.0,MU,1680474714
198,sabzevar,36.2126,57.6819,50.52,32,69,3.83,IR,1680474714
199,rawson,-43.3002,-65.1023,59.99,62,23,18.1,AR,1680474668
200,mardin,37.3131,40.7436,44.38,91,81,1.14,TR,1680474714
201,takoradi,4.8845,-1.7554,79.99,87,33,4.18,GH,1680474714
202,kirchhundem,51.1,8.1,34.43,90,7,3.76,DE,1680474715
203,sovetskiy,61.3614,63.5842,30.49,94,68,2.33,RU,1680474715
204,kalmunai,7.4167,81.8167,74.93,91,10,5.93,LK,1680474715
205,alenquer,-1.9417,-54.7383,72.59,97,93,3.38,BR,1680474715
206,goundam,16.4145,-3.6708,81.84,7,1,7.38,ML,1680474715
207,aktash,50.3,87.7333,-9.11,71,30,5.53,RU,1680474715
208,lompoc,34.6391,-120.4579,68.77,73,75,27.0,US,1680474688
209,ribeira grande,38.5167,-28.7,56.77,66,68,3.0,PT,1680474715
210,labrea,-7.2586,-64.7981,73.92,96,55,2.98,BR,1680474715
211,victoria,22.2855,114.1577,71.65,91,95,1.01,HK,1680474715
212,oranjestad,12.524,-70.027,80.91,80,40,23.02,AW,1680474715
213,bucerias,20.75,-105.3333,78.78,73,20,10.36,MX,1680474607
214,fairbanks,64.8378,-147.7164,32.49,83,75,11.5,US,1680474517
215,lukulu,-14.3707,23.242,64.89,96,100,4.83,ZM,1680474715
216,baft,29.234,56.6057,43.84,28,0,1.63,IR,1680474715
217,fort wellington,6.4,-57.6,76.82,82,88,9.35,GY,1680474715
218,barcelos,41.5388,-8.6151,56.91,71,100,3.22,PT,1680474502
219,mandera,3.9366,41.867,81.81,65,100,13.8,KE,1680474715
220,saskylakh,71.9167,114.0833,16.97,96,100,3.78,RU,1680474675
221,owando,-0.4819,15.8999,74.71,77,58,2.64,CG,1680474716
222,el reno,35.5323,-97.955,78.12,57,0,25.32,US,1680474716
223,clyde river,70.4692,-68.5914,-9.17,77,0,6.91,CA,1680474634
224,nema,57.5067,50.5011,36.77,96,100,5.19,RU,1680474716
225,usinsk,65.9939,57.5281,12.38,92,54,9.17,RU,1680474716
226,svendborg,55.0598,10.6068,36.66,64,0,3.2,DK,1680474716
227,mocuba,-16.8392,36.9856,67.77,95,96,3.22,MZ,1680474716
228,puerto escondido,15.85,-97.0667,88.63,66,0,9.22,MX,1680474508
229,ostrovnoy,68.0531,39.5131,28.81,55,100,8.7,RU,1680474716
230,matara,5.9485,80.5353,73.62,95,4,3.09,LK,1680474716
231,port augusta,-32.5,137.7667,65.52,31,83,4.25,AU,1680474640
232,ambon,-3.6954,128.1814,73.54,94,20,10.36,ID,1680474716
233,san luis,-33.295,-66.3356,69.48,59,91,2.21,AR,1680474593
234,codrington,-38.2667,141.9667,56.46,72,0,6.71,AU,1680474691
235,hobyo,5.3505,48.5268,83.01,76,52,12.71,SO,1680474716
236,coahuayana,18.7333,-103.6833,84.94,48,97,6.15,MX,1680474638
237,leningradskiy,69.3833,178.4167,-6.63,86,100,16.11,RU,1680474657
238,vardo,70.3705,31.1107,24.78,86,100,11.5,NO,1680474716
239,cangucu,-31.395,-52.6756,60.01,76,76,5.23,BR,1680474716
240,foam lake,51.65,-103.5343,19.42,93,100,12.77,CA,1680474716
241,kapoeta,4.7717,33.5903,82.08,45,98,3.69,SS,1680474716
242,terekli-mekteb,44.1671,45.8698,46.49,66,13,8.21,RU,1680474716
243,chumikan,54.7183,135.315,24.76,75,100,3.36,RU,1680474707
244,port lincoln,-34.7333,135.8667,65.03,57,61,6.91,AU,1680474684
245,eureka,40.8021,-124.1637,50.61,87,100,3.0,US,1680474686
246,luanda,-8.8368,13.2343,82.4,78,0,8.05,AO,1680474532
247,nola,40.922,14.5329,57.92,92,100,7.63,IT,1680474717
248,half moon bay,37.4636,-122.4286,60.03,67,100,21.85,US,1680474628
249,cabo san lucas,22.8909,-109.9124,85.6,50,75,8.05,MX,1680474631
250,maumere,-8.6199,122.2111,80.33,75,97,3.0,ID,1680474717
251,catamarca,-28.4696,-65.7852,77.58,89,45,2.37,AR,1680474717
252,sao miguel do araguaia,-13.275,-50.1628,75.13,86,96,2.04,BR,1680474527
253,solnechnyy,50.7214,136.6319,39.79,92,66,2.17,RU,1680474717
254,berlevag,70.8578,29.0864,26.55,74,88,17.27,NO,1680474717
255,meiganga,6.5167,14.3,71.24,66,67,1.57,CM,1680474717
256,bernalillo,35.05,-106.6673,75.7,8,0,20.71,US,1680474717
257,meulaboh,4.1363,96.1285,75.87,85,100,4.56,ID,1680474717
258,sao francisco de assis,-29.5503,-55.1311,65.52,50,37,8.19,BR,1680474717
259,acapulco,16.8634,-99.8901,87.62,58,0,9.22,MX,1680474717
260,esperance,-33.8667,121.9,64.83,75,69,6.93,AU,1680474717
261,constantine,36.365,6.6147,45.81,87,75,17.27,DZ,1680474717
262,mount isa,-20.7333,139.5,69.57,43,53,5.75,AU,1680474718
263,comodoro rivadavia,-45.8667,-67.5,64.26,27,0,11.5,AR,1680474718
264,madison,34.7334,-86.5667,71.67,29,0,3.0,US,1680474518
265,pochutla,15.7432,-96.4661,87.82,52,20,7.23,MX,1680474718
266,vanimo,-2.6741,141.3028,78.71,86,100,4.27,PG,1680474718
267,cedar city,37.6775,-113.0619,59.97,20,0,20.71,US,1680474619
268,san francisco,37.7749,-122.4194,61.05,68,75,29.93,US,1680474556
269,atar,20.5169,-13.0499,85.86,6,1,7.07,MR,1680474718
270,nago,26.5881,127.9761,65.25,68,68,25.17,JP,1680474718
271,mantua,45.1667,10.7833,56.01,84,43,1.01,IT,1680474718
272,songea,-10.6833,35.65,65.55,94,20,0.0,TZ,1680474718
273,mount gambier,-37.8333,140.7667,55.99,69,2,3.27,AU,1680474719
274,leshukonskoye,64.8989,45.7622,6.94,99,66,4.27,RU,1680474720
275,yumbe,3.4651,31.2469,67.57,82,35,2.95,UG,1680474720
276,talas,38.6908,35.5538,48.87,76,75,0.0,TR,1680474721
277,baghmara,23.795,86.2085,74.41,42,0,2.82,IN,1680474721
278,khani,41.9563,42.9566,44.17,78,88,2.08,GE,1680474721
279,pingliang,35.5392,106.6861,36.34,88,100,15.57,CN,1680474721
